cell_type	colour	class	indications
T.NK.cells	blue2	Major	Omentum
Myeloid.cells_Om	chocolate4	Major	Omentum
Mesenchymal.progenitor	chocolate1	Major	Omentum
Mesothelial.cells_Om	red2	Major	Omentum
Endothelial.cells_Om	magenta	Major	Omentum
HGSOC_ovca_find.markers	darkviolet	Major	ovarian
B.cells_Om	green4	Major	Omentum
Macrophages	darkseagreen1	Major	Omentum
Plasmacytoid.dendritic.cells_curated	lightsalmon	Major	Omentum
Neutrophils_1_2_merged	cyan2	Major	Omentum
Plasma.cells_normal_Newman15	darkcyan	Major	Omentum
Mast.cells_merged_Newman15	mediumpurple1	Major	Omentum
Monocytes_normal_Newman15	gold	Major	Omentum
Lymphatic.endothelial.cells	plum1	Major	Omentum
